# Regions based on: /home/agusnt/bin/pinplay/extras/pinplay/scripts/regions.py -f 0 --csv_region --bbv_file t.bb --region_file t.simpoints --weight_file t.weights 
# comment,thread-id,region-id,simulation-region-start-icount,simulation-region-end-icount,region-weight
# Region = 1 Slice = 112 Icount = 33600000654 Length = 300000033 Weight = 0.04566
cluster 0 from slice 112,0,1,33600000654,33900000686,0.04566

# Region = 2 Slice = 1087 Icount = 326100008689 Length = 300000003 Weight = 0.81811
cluster 1 from slice 1087,0,2,326100008689,326400008691,0.81811

# Region = 3 Slice = 83 Icount = 24900000466 Length = 300000002 Weight = 0.13623
cluster 2 from slice 83,0,3,24900000466,25200000467,0.13623

# Total instructions in 3 regions = 900000038
# Total instructions in workload = 400800010720
# Total slices in workload = 1336
